pIndex	Problem	Equation	Relevant Indices	Number of Operators
14	अथर्व ने 7 सेब तोड़े, नैन्सी ने 3 सेब तोड़े और कल्पेश ने 6 सेब और 4 नाशपाती तोड़े। कुल कितने सेब तोड़े गए?	X = ( ( 7 + 3 ) + 6 )	[0, 1, 2]	2
15	जागृति को समुद्र तट पर 70 सीपियाँ मिलीं। सिद्धांत ने उसे 27 सीपियाँ दीं। जागृति के पास अब कितनी सीपियाँ हैं?	X = ( 70 + 27 )	[0, 1]	1
17	रहीम के पास 8 फूल थे। उसने 3 फूलों को फूलदान में रख दिया। उसके पास कितने फूल शेष रहे?	X = ( 8 - 3 )	[0, 1]	1
18	दीपिका की 8 पुस्तकें मेज़ पर पड़ी हैं । 4 पुस्तकें उसके स्कूल बैग में हैं । दीपिका के पास कितनी पुस्तकें हैं ?	X = ( 8 + 4 )	[0, 1]	1
20	वृंदा के पास 1400 क्रेयॉन हैं। लावण्या के पास 290 क्रेयॉन हैं। वृंदा के पास लावण्या से कितने अधिक क्रेयॉन हैं?	X = ( 1400 - 290 )	[0, 1]	1
21	यदि गुफा 974 फीट गहरी है और वे पहले से ही गुफा के 588 फीट अंदर हैं, तो गुफा से बाहर निकलने के लिए उन्हें और कितनी दूरी तय करनी है?	X = ( 974 - 588 )	[0, 1]	1
22	राजबीर ने ₹13 खर्च किए। अब उसके पास ₹6 है। राजबीर के पास खर्चा करने से पहले कितना पैसा था?	X = ( 13 + 6 )	[0, 1]	1
23	स्कूल के पुस्तक मेले में सिद्धांत ने 13 पुरानी रोमांचक किताबें और 17 पुरानी रहस्य भरी किताबें खरीदीं। अगर उसने 15 नई किताबें भी खरीदीं, तो उसने कितनी किताबें खरीदीं?	X = ( ( 13 + 17 ) + 15 )	[0, 1, 2]	2
24	डैनियल के पास कुछ नूडल्स थीं। उसने विलियम को 12 नूडल्स दीं। अब डैनियल के पास केवल 54 नूडल्स हैं। पहले डैनियल के पास कितनी नूडल्स थी?	X = ( 12 + 54 )	[0, 1]	1
26	1 गुब्बारे वाले के पास 25 गुब्बारे थे । उसने 17 गुब्बारे बेच दिए । बताइए , अब उसके पास कितने गुब्बारे बचे ?	X = ( 25 - 17 )	[1, 2]	1
27	मनवीत के पास 8 गुब्बारे हैं । उसने 3 गुब्बारे हवा में छोड़ दिए । अब उसके पास कितने गुब्बारे हैं ?	X = ( 8 - 3 )	[0, 1]	1
28	शानू को 138 पत्थर मिले। करीम को 44 पत्थर मिले। उन्हें कुल कितने पत्थर मिले?	X = ( 138 + 44 )	[0, 1]	1
31	तनीशा ने अपने भाई के लिए बैटरी वाली कार खरीदी । जिसका मूल्य ₹ 945 है । परन्तु उसके पास जमा राशि ₹ 820 है । उसे बैटरी कार खरीदने के लिए और कितने रुपये की आवश्यकता है ?	X = ( 945 - 820 )	[0, 1]	1
32	सारा के पास बैंक में 21 रुपये थे। उसके पिताजी ने उसे 49 रुपये और दिए। उसके पास अब कितने रुपये हैं?	X = ( 21 + 49 )	[0, 1]	1
33	ईशा की पेंसिल 22 इंच लंबी थी। अगर उसने उसे सोमवार को 2 इंच और मंगलवार को 2 इंच छीला, तो उसकी पेंसिल कितनी लंबी होगी?	X = ( ( 22 - 2 ) - 2 )	[0, 1, 2]	2
34	गुरप्रीत के कुत्ते के 8 पिल्ले हुए और 3 पर धब्बे थे। उसकी दोस्त ने उसे 4 और पिल्ले दिए। उसके पास अब कितने पिल्ले हैं?	X = ( 8 + 4 )	[0, 2]	1
36	वन विभाग द्वारा 1 नर्सरी में 953 पौधे लगाए जिसमें से 427 नीम के , 238 आँवले के एवं शेष आम के पौधे लगाए । बताओ नर्सरी मे कुल आम के कितने पौधे लगाए गए ?	X = ( 953 - ( 427 + 238 ) )	[1, 2, 3]	2
38	जागृति ने बेचने के लिए 33 किताबें इकट्ठा कीं। उसे बेचने के लिए 26 और मिलीं। उसके पास अब बेचने के लिए कितनी किताबें हैं?	X = ( 33 + 26 )	[0, 1]	1
39	आशा के पास 98 आम थे । उनमें से उसने 65 आम बॉट दिए । बताइए , अब उसके पास कितने आम बचे ?	X = ( 98 - 65 )	[0, 1]	1
40	स्कूल बस में 10 छात्र सवार थे। 3 छात्र बस से उतर गए। बस में कितने छात्र बचे हैं?	X = ( 10 - 3 )	[0, 1]	1
42	अहमद ने अपने 13 वीडियो गेम 1 दोस्त को दे दिए। अब अहमद के पास छह गेम हैं। अहमद के पास गेम देने से पहले कितने गेम थे?	X = ( 13 + 6 )	[0, 'implicit']	1
43	मृदुल के MP3 प्लेयर पर 30 गाने थे। अगर उसने इसमें से 8 पुराने गाने डिलीट किए और फिर 10 नए गाने डाले, तो उसके MP3 प्लेयर पर कितने गाने हैं?	X = ( ( 30 - 8 ) + 10 )	[1, 2, 3]	2
45	जेसन शनिवार को मॉल में कपड़े खरीदने गया था। उसने शॉर्ट्स और 1 जैकेट पर कुल 14.28 रुपये खर्च किए। उसने जैकेट पर 4.74 रुपये खर्च किए। जेसन ने शॉर्ट्स पर कितने रुपये खर्च किए?	X = ( 14.28 - 4.74 )	[1, 2]	1
46	कल्पेश के पास 20 किताबें हैं। जेसन के पास 21 किताबें हैं। उनके पास कुल कितनी किताबें हैं?	X = ( 20 + 21 )	[0, 1]	1
48	सिद्धांत के पास 86 पीले और 20 हरे कंचे थे। अरिजीत ने सिद्धांत के पीले पत्थरों में से 25 ले लिए। सिद्धांत के पास अब कितने पीले कंचे हैं?	X = ( 86 - 25 )	[0, 2]	1
49	रवि ने ₹ 50 की 1 कॉपी , ₹ 125 की 1 किताब तथा 1 पेन ₹ 150 का खरीदा । उसने कितने रुपये खर्च किये ?	X = ( ( 50 + 125 ) + 150 )	[0, 2, 5]	2
50	1 बग़ीचे में अनार के 35 पेड़, अमरूद के 27 पेड़ और आम के 15 पेड़ हैं। बताओ बग़ीचे में कुल कितने पेड़ है?	X = ( ( 35 + 27 ) + 15 )	[1, 2, 3]	2
51	1 पशु चिकित्सक का वजन 3 बिल्लियों था। पहली का वजन 2 किलो था। दूसरी का वजन 7 किलो और आखिरी का वजन 4 किलो था। उन तीनों का साथ में वजन कितना है?	X = ( ( 2 + 7 ) + 4 )	[2, 3, 4]	2
52	वर्तमान में पार्क में 42 अखरोट के पेड़ और 12 संतरों के पेड़ हैं। पार्क कर्मियों को 13 अखरोट के पेड़ काटने पड़े जो क्षतिग्रस्त हो गए थे। श्रमिकों का काम समाप्त होने पर पार्क में कितने अखरोट के पेड़ होंगे?	X = ( 42 - 13 )	[0, 2]	1
53	नजमा के गाँव में 38 गायें और 6 भैंसे हैं उसके गाँव में कुल कितने पशु हैं ?	X = ( 38 + 6 )	[0, 1]	1
54	इन्दर 25.75 रुपये लेकर मेले में जाता है और 20.25 रुपये मेले में खर्च करता है । अब इन्दर के पास कितने रुपये बचे हैं ?	X = ( 25.75 - 20.25 )	[0, 1]	1
55	1 पालतू जानवरों की दुकान में कुत्ते के खाने के 600 बैग और बिल्ली के खाने के 327 बैग हैं। बिल्ली के खाने की तुलना में कुत्ते के खाने के कितने ज़्यादा बैग हैं?	X = ( 600 - 327 )	[1, 2]	1
56	जागृति के हाई स्कूल में इस साल 864 बेसबॉल मैच खेले गए, 128 मैच रात में खेले गए। वह 395 मैचों को देखने गई। जागृति कितने बेसबॉल मैच देखने नहीं गई?	X = ( 864 - 395 )	[0, 2]	1
57	नाशपाती के पेड़ से जेसन ने 46 नाशपाती तोड़े, कल्पेश ने 47 नाशपाती तोड़े और अथर्व ने 12 नाशपाती तोड़े। कुल कितने नाशपाती तोड़े गए?	X = ( ( 46 + 47 ) + 12 )	[0, 1, 2]	2
58	कनिष्क के पास 26 बेसबॉल कार्ड थे और उसने मालिनी को 18 दिए। फिर उसे 40 कार्ड्स का 1 बंद डिब्बा मिला। उसके पास अब कितने कार्ड हैं?	X = ( ( 26 + 40 ) - 18 )	[0, 2, 1]	2
59	जो के पास 50 खिलौना कारें थीं। अगर उसने 12 कारें दे दीं, तो उसके पास कितनी कारें होंगी?	X = ( 50 - 12 )	[0, 1]	1
60	1 फ़ोन कम्पनी के दुनिया भर में कुल 7422 ग्राहक हैं। अगर इनके सभी ग्राहकों में से 723 अमरीका में रहते हैं, तो इनके कितने ग्राहक दूसरे देशों में रहते हैं?	X = ( 7422 - 723 )	[1, 2]	1
61	काव्या ने ₹39 की बचत की। वह 1 घड़ी खरीदना चाहती है जिसकी कीमत ₹55 है। काव्या को और कितने पैसे चाहिए?	X = ( 55 - 39 )	[2, 0]	1
62	1 भोजनालय में 94 बर्तन हैं। 38 काँटे हैं, 27 चाकू हैं और बाकी चम्मच हैं। कितनी चम्मच हैं?	X = ( ( 94 - 38 ) - 27 )	[1, 2, 3]	2
63	अपना काम शुरू करने से पहले, 1 वेटर ने सुनिश्चित करने के लिए जाँच की कि उसके ग्राहकों के लिए पर्याप्त चटनी है या नहीं। उसे पहली मेज़ पर 0.25 बोतल, दूसरी मेज़ पर 0.25 बोतल और तीसरी मेज़ पर 0.375 बोतल मिली। कुल मिलाकर, वेटर को चटनी की कितनी बोतलें मिलीं?	X = ( ( 0.25 + 0.25 ) + 0.375 )	[1, 2, 3]	2
64	अंत में वे इटली गए। वहाँ वे नेपल्स गए, जहाँ आधुनिक पिज्जा का आविष्कार हुआ था। उनके वहाँ रहने के दौरान ज्योति ने 598 ग्राम पिज्जा खाया और बेला ने 354 ग्राम। ज्योति और बेला ने कुल कितने ग्राम पिज्जा खाया?	X = ( 598 + 354 )	[0, 1]	1
65	योगेश प्रतिदिन 5.5 घंटे विद्यालय में तथा 3.75 घंटे घर में अध्ययन करता है । योगेश के प्रतिदिन अध्ययन का कुल समय ज्ञात करिए ।	X = ( 5.5 + 3.75 )	[0, 1]	1
66	1 दुकानदार 1 दिन में 30 किलो चावल, 27 किलो गेहूँ और 28 किलो बाजरा बेचता है तो वह 1 सप्ताह में कितना अनाज बेचता है?	X = ( ( 30 + 27 ) + 28 )	[2, 3, 4]	2
67	खेल के पहले हिस्से में अतुल ने 43 अंक बनाए। दूसरे हिस्से में उन्होंने 23 अंक बनाए। उसने कुल कितने अंक बनाए?	X = ( 43 + 23 )	[0, 1]	1
68	जैदेव के पास 39 स्टिकर थे। उसे अपने जन्मदिन पर 61 और स्टिकर मिले। जैदेव के पास कितने स्टिकर थे?	X = ( 61 + 39 )	[1, 0]	1
69	डारनेल 0.875 लैप दौड़ा और फिर उसने 0.75 लैप जॉगिंग की। डारेल ने कुल कितने लैप्स किए?	X = ( 0.875 + 0.75 )	[0, 1]	1
70	कैरी ने ₹24 का 1 स्वेटर खरीदा, ₹6 की 1 क़मीज़ और ₹11 के जूतों की 1 जोड़ी। कैरी ने कितना पैसा खर्च किया?	X = ( ( 24 + 6 ) + 11 )	[0, 2, 4]	2
71	मैलनी के पास 30 बेसबॉल कार्ड थे जिनमें से 9 फटे हुए थे। सारा ने मैलनी से 18 बेसबॉल कार्ड खरीदे। मैलनी के पास अब कितने बेसबॉल कार्ड हैं?	X = ( 30 - 18 )	[0, 2]	1
72	जागृति ने 37 संतरे तोड़े और सारा ने उनमें से 10 बेच दिए। ओजस्वी ने 30 नाशपाती तोड़े। जागृति के पास कितने संतरे बचे हैं?	X = ( 37 - 10 )	[0, 1]	1
73	1 दुकानदार ने 23.50 रु . की शक्कर तथा 8.75 रुपये का आटा दिया तो उसने कुल कितनी राशि का सामान दिया ?	X = ( 23.50 + 8.75 )	[1, 2]	1
76	स्कूल की बेक सेल के लिए आशा ने 30 कपकेक बनाए। यदि उसने उनमें से 9 बेचे और फिर 28 कपकेक और बनाए, तो उसके पास कितने कपकेक होंगे?	X = ( ( 30 + 28 ) - 9 )	[0, 2, 1]	2
78	शंकर 1 दुकान से 40.50 रुपये का बिस्किट का पैकेट तथा 2.25 रुपये की माचिस खरीदता है । बताइए , शंकर ने दुकानदार को कितने रुपये चुकाए ?	X = ( 40.50 + 2.25 )	[1, 2]	1
80	कनिष्क पिछले साल 36 बास्केटबॉल मैच देखने गया था और उससे 1 साल पहले 35 बास्केटबॉल मैच देखने गया था। इस साल, वह पिछले साल की तुलना में 11 कम मैच देखने गया। कनिष्क इस साल कितने बास्केटबॉल मैच देखने गया?	X = ( 36 - 11 )	[0, 3]	1
82	1 पार्टी के लिए हरीश ने खाने पर 45 रुपये और पेय पर 33 रुपये खर्च किए। हरीश ने कुल कितना खर्चा किया?	X = ( 45 + 33 )	[1, 2]	1
83	सिद्धांत के पास बैंक में 49 रुपये और 24 पैसे थीं। उसके पिता ने उसे 31 रुपये और 39 पैसे दिए। उसके पास अब कितने पैसे हैं?	X = ( 24 + 39 )	[1, 3]	1
84	1 पिज़्ज़ा पार्टी में मेसन और उसके दोस्तों ने 2.666666666666666565 नींबू सोडा की बोतलें और 2.66666666666665 कोला की बोतलें पी लीं। उन्होंने कुल कितना सोडा पीया?	X = ( 2.666666666666666565 + 2.66666666666665 )	[1, 2]	1
88	1 साल में हरमनप्रीत कौर ने 1790 दौड़े बनाई और मिताली राज ने 1299 दौड़ें बनाई । हरमनप्रीत ने मिताली राज से कितनी अधिक दौड़े बनायीं ?	X = ( 1790 - 1299 )	[1, 2]	1
89	गीता के पास 90 रुपये थे । उसमें से उसने 68 रुपये खर्च कर दिये । बताइए , अब उसके पास कितने रुपये बचे ?	X = ( 90 - 68 )	[0, 1]	1
90	शुरूआत में जेन के पास 87 केले थे। 7 1 घोड़े द्वारा खाए गए। अंत में जेन के पास कितने केले बचे?	X = ( 87 - 7 )	[0, 1]	1
91	गुरप्रीत ने 6 गाजरें उगाईं। सिद्धांत ने 3 गाजरें उगाईं। उन्होंने कुल कितनी गाजरें उगाईं?	X = ( 6 + 3 )	[0, 1]	1
93	1 व्यक्ति के पास 50 लीटर दूध हैं। उसमें से 15 लीटर दूध ख़राब हो गया। उस व्यक्ति के पास अब कितना दूध बचा?	X = ( 50 - 15 )	[1, 2]	1
95	माला में 10 मोती हैं । अगर मैं 4 मोती और डालूँ तो माला में कितने मोती होंगे ?	X = ( 10 + 4 )	[0, 1]	1
97	ओजस्वी के पास 129 मिठाइयाँ थीं। अयाना के पास 140 हैं। ओजस्वी की तुलना में अयाना के पास कितनी ज़्यादा मिठाइयाँ हैं?	X = ( 140 - 129 )	[1, 0]	1
98	मैलनी के खाते में 7 रूपये थे। उसके पिता ने उसे 8 रूपये दिए और उसकी माँ ने उसे 4 रूपये दिए। मैलनी के पास अब कितने रूपये हैं?	X = ( ( 7 + 8 ) + 4 )	[0, 1, 2]	2
99	भूमिका के पास 106 क्रेयॉन हैं। वह उनमें से 54 जेन को दे देती है। भूमिका के पास कितने क्रेयॉन बचे हैं?	X = ( 106 - 54 )	[0, 1]	1
100	आर्केड में अजय ने 'व्हेक ए मोल' खेलकर 32 टिकटें और 'स्के बॉल' खेलकर 25 टिकटें जीतीं। अगर उसने अपनी टिकटों में से 7 1 टोपी पर खर्च कीं, तो अजय के पास कितनी टिकटें बचीं?	X = ( ( 32 + 25 ) - 7 )	[0, 1, 2]	2
102	आइरिन ने अपनी मेज़ पर रखने के लिए 1 नया लैंप खरीदा। पुराना लैंप 1 फुट लंबा था और नया लैंप 2.3333333333333335 फ़ीट लंबा है। पुराने लैंप की तुलना में नया लैंप कितना लंबा है?	X = ( 2.3333333333333335 - 1 )	[2, 1]	1
104	योग करते समय पवन ने सुबह 59 आसान और दोपहर में 38 आसान किए। पवन ने कुल कितने आसान किए?	X = ( 59 + 38 )	[0, 1]	1
105	सैली ने 3 रुपये का कूपन इस्तेमाल करके ₹12.32 के आड़ू और ₹11.54 की चेरी ख़रीदी। कुल मिलाकर सैली ने कितने पैसे खर्च किए?	X = ( 12.32 + 11.54 )	[1, 2]	1
106	दिव्यांश के पास 7 किताबें थीं। अगर उसने 1 बिक्री पर 12 और ख़रीदीं, तो उसके पास कुल कितनी होंगी?	X = ( 7 + 12 )	[0, 2]	1
109	स्कूलों की बास्केटबॉल टीम में 39 छात्र भाग लेने के लिए परीक्षण ड़े रहे थे। यदि केवल 4 लड़कों और 26 लड़कियों को शामिल किया गया, तो कितने छात्रों को नहीं लिया?	X = ( 39 - ( 4 + 26 ) )	[0, 1, 2]	2
111	मोहन के पास 10000 रूपये हैं । उसने 4500 रु . के गेहूँ खरीदे तथा 1600 रु . के चावल खरीदे । बताओ उसके पास कितने रुपये शेष बचे ?	X = ( 10000 - ( 4500 + 1600 ) )	[0, 1, 2]	2
113	जॉनेथन 1 डायनासोर की किताब खरीदना चाहता है जिसकी कीमत ₹19 है। वह ₹7 की 1 बच्चों की रसोई की किताब भी खरीदना चाहता है। उसके पास जेब में ₹8 है। जॉनेथन को 2 किताबें खरीदने के लिए और कितने पैसों की आवश्यकता है?	X = ( ( 19 + 7 ) - 8 )	[1, 2, 4]	2
115	राधा ने दुकान से 2 किलो 500 ग्राम चीनी, 1 किलो 750 ग्राम चाय और 3 किलो 200 ग्राम दाल ख़रीदी। राधा ने कुल कितना सामान ख़रीदा?	X = ( ( 2.500 + 1.750 ) + 3.200 )	[0, 1, 2]	2
116	शॉन के पास 45 सीटियाँ हैं। उसके पास चार्ल्स की तुलना में 32 ज़्यादा सीटियाँ हैं। चार्ल्स के पास कितनी सीटियाँ हैं?	X = ( 45 - 32 )	[0, 1]	1
117	1 पालतू जानवरों की दुकान में 13 सियामीज़ बिल्लियाँ और 5 हाउस बिल्लियाँ थीं। 1 बिक्री के दौरान उन्होंने 10 बिल्लियाँ बेचीं। उनके पास कितनी बिल्लियाँ बची हैं?	X = ( ( 13 + 5 ) - 10 )	[1, 2, 4]	2
118	लूसी किराने की दुकान पर गई। उसने बिस्कुट के 16 पैक खरीदे और उनमें से 12 पैक खाए। बिस्कुट के कितने पैक बचे हैं?	X = ( 16 - 12 )	[0, 1]	1
119	1 गुब्बारे वाले के पास फूले हुए 125 गुब्बारे थे। इनमें से 88 गुब्बारे फूट गए। बताओ अब उसके पास फूले हुए कितने गुब्बारे बचे?	X = ( 125 - 88 )	[1, 2]	1
120	कल्पेश ने ₹136.01 का 1 सीडी प्लेयर लौटाया, स्पीकर पर ₹139.38 और नए टायर पर ₹112.46 खर्च किए। वह ₹6.16 की 3 सीडियाँ ख़रीदना चाहता था, लेकिन नहीं खरीदीं। कुल मिलाकर उसने कितना खर्चा किया?	X = ( 136.01 + ( 139.38 + 112.46 ) )	[0, 2, 3]	2
122	1 वेटर ने गुरुवार रात को फ्रिज में बचे हुए केक रखे। उसने देखा कि भोजनालय में चेरी का 0.08333333333333333 केक, ब्लूबेरी का 0.75 केक और आड़ू का 0.083333333333333 केक था। भोजनालय में कुल कितने बचे हुए केक थे?	X = ( ( 0.08333333333333333 + 0.75 ) + 0.08333333333333333 )	[1, 2, 1]	2
123	कार्ला के पास कुछ कंचे थे। उसने 134 कंचे और खरीदे। उसके पास अब 187 कंचे हैं। पहले उसके पास कितने कंचे थे?	X = ( 187 - 134 )	[1, 0]	1
125	दिव्यांश ने 48 रंग भरने की किताबें खरीदीं। यदि उसने उनमें से 34 दे दीं और फिर 3 और दे दीं, तो उसके पास कितनी बची होंगी?	X = ( 48 - ( 34 + 3 ) )	[0, 1, 2]	2
127	हार्डवेयर की दुकान पर, कीलों के 0.25 भाग का आकार 2D है और कीलों के 0.5 भाग का आकार 4D है। कीलों के कितने भाग का आकार 2D या 4D है?	X = ( 0.25 + 0.5 )	[0, 2]	1
128	जैवन्त के पास 28 मोज़े थे। अगर उसने 4 को फेंक दिया जो फ़िट नहीं हो रहे थे और 36 नए खरीदे, तो उसके पास कितने मोज़े होंगे?	X = ( ( 28 + 36 ) - 4 )	[0, 2, 1]	2
129	ओजस्वी को फल खाना बहुत पसंद है। ओजस्वी ने अंगूरों पर ₹12.08 और चेरी पर ₹9.85 खर्च किए। कुल मिलाकर ओजस्वी ने कितने पैसे खर्च किए?	X = ( 12.08 + 9.85 )	[0, 1]	1
131	1 क्रिकेट मैच में सुनीता ने 26 रन और मिताली ने 73 रन बनाए। बताओ दोनों ने मिलकर कुल कितने रन बनाए?	X = ( 26 + 73 )	[1, 2]	1
133	अजय को समुद्र तट पर 5 सीपियाँ मिलीं। उसने लैला को 2 सीपियाँ दीं। उसके पास अब कितनी सीपियाँ हैं?	X = ( 5 - 2 )	[0, 1]	1
138	श्रीमती शेरिडन के पास 47 मछलियाँ थीं। उन्होंने अपनी बहन को 22 मछलियाँ दीं। अब उनके पास कितनी मछलियाँ हैं?	X = ( 47 - 22 )	[0, 1]	1
139	1 अनाथालय में राधा ने 3.450 किलो दाल दी, मीरा 2.5 किलो चावल दिए और रीटा ने 5.6 किलो आटा दिया। तीनों ने अनाथालय में कुल कितना राशन दिया?	X = ( ( 3.450 + 2.5 ) + 5.6 )	[1, 2, 3]	2
140	समुद्र के किनारे लीनो ने सुबह 292 सीपियाँ और दोपहर में 324 सीपियाँ उठाईं। उसने कुल कितनी सीपियाँ उठाईं?	X = ( 292 + 324 )	[0, 1]	1
141	पवन की टोकरी में 42 ककड़ियाँ थीं। उसने 78 ककड़ियाँ और ख़रीदीं। उसके पास अब कितनी ककड़ियाँ हैं?	X = ( 42 + 78 )	[0, 1]	1
142	स्कूल के पुस्तक मेले में सिद्धांत ने 13 पाठ्यपुस्तकें और 17 रहस्य की किताबें खरीदीं। यदि 15 किताबों पुरानी थी, तो उसने कितनी नई किताबें खरीदीं?	X = ( ( 13 + 17 ) - 15 )	[0, 1, 2]	2
143	अनिल का परिवार बहामास से जापान चला गया था इसलिए उन्हें अपना पैसा जापानी येन में बदलना पड़ा। उनके खाते में 6359 येन थे और उन्होंने तब से 3485 येन खर्च किए हैं। उनके पास कितने येन बचे हैं?	X = ( 6359 - 3485 )	[0, 1]	1
144	1 वार्ड में 612 पुरुष एवं 700 महिलाएँ थीं। उसमें से 312 मरीज़ों को छुट्टी मिल गई। वार्ड में कितने मरीज़ बचे हैं?	X = ( ( 612 + 700 ) - 312 )	[1, 2, 3]	2
146	1 पालतू जानवरों की दुकान में कुल 77 जानवर हैं। उनमें से 32 बिल्ली के बच्चे हैं और 15 चूहे हैं। बाकी पक्षी हैं। कितने पक्षी हैं?	X = ( ( 77 - 32 ) - 15 )	[1, 2, 3]	2
147	1 लड़का सुबह 7:30 बजे सुबह स्कूल जाता है और वापिस 2:45 पर घर पहुँचता है । लड़का कुल कितना समय घर से बाहर रहता है ?	X = ( ( 12 + 2:45 ) - 7:30 )	['implicit', 3, 4, 1, 2]	2
148	फ़रीदा बाज़ार से 60 खिलौने लाई। सीता ने उससे उसमें से 6 ले लिए। फ़रीदा के पास कितने खिलौने बचे?	X = ( 60 - 6 )	[0, 1]	1
150	मैलनी ने 139 शलजमें उगाईं। बेनी ने 113 शलजमें उगाईं। मैलनी ने बेनी की तुलना में कितनी ज़्यादा शलजमें उगाईं?	X = ( 139 - 113 )	[0, 1]	1
151	1 आम का 0.25 भाग सुनीता को तथा 0.25 राधा को मिला, दोनों को मिलाकर कितना आम मिला?	X = ( 0.25 + 0.25 )	[1, 2]	1
152	1 पेड़ पर 14 पक्षी बैठे थे। 21 और पक्षी आए और पेड़ पर बैठ गए। पेड़ पर अब कुल कितने पक्षी हैं?	X = ( 14 + 21 )	[1, 2]	1
155	सोमवार को पूजा ने 2 किलोमीटर जॉगिंग की। मंगलवार को उसने 5 किलोमीटर जॉगिंग की और बुधवार को उसने 9 जॉगिंग की। उसने कुल कितने किलोमीटर जॉगिंग की?	X = ( ( 2 + 5 ) + 9 )	[0, 1, 2]	2
156	सविता बाजार से 2 किग्रा . गोभी , 4 किग्रा . ककड़ी व 3.700 किग्रा . रतालू खरीद कर लायी बताओ उसके थेले में कुल कितना भार हो गया ?	X = ( ( 2 + 4 ) + 3.700 )	[0, 1, 2]	2
157	1 डेयरी वाले ने ग्राहकों को 1.500 लीटर , 3.800 लीटर व 5.450 लीटर दूध बेचा तो उसने कुल कितना दूध बेचा ?	X = ( ( 1.500 + 3.800 ) + 5.450 )	[1, 2, 3]	2
158	1 नर्सरी में 575 पौधे नीम के और 385 पौधे अशोक के तैयार किए गए। बताओ नर्सरी में कुल कितने पौधे तैयार किए गए?	X = ( 575 + 385 )	[1, 2]	1
160	1 पेटी में ब्रेड के 50 पैकेट हैं। राधा ने 28 ब्रेड निकालीं। पेटी में ब्रेड के कितने पैकेट बचे?	X = ( 50 - 28 )	[1, 2]	1
161	गुरप्रीत मॉल में कपड़े खरीदने गई थी। उसने ₹12.14 में 1 क़मीज़ खरीदी और 1 क़मीज़ वापस कर दी जिसके लिए उसने पहले ₹13.99 का भुगतान किया था। उसने जैकेट पर ₹7.43 भी खर्च किए। गुरप्रीत ने कपड़ों पर कितना पैसा खर्च किया?	X = ( ( 12.14 + 7.43 ) - 13.99 )	[0, 4, 3]	2
162	1 भोजनालय ने दोपहर के खाने में परोसने के लिए 9 हैम्बर्गर बनाए। वे हाथों हाथ बिक गए और उन्हें 3 और बनाने पड़े। दोपहर के खाने के लिए उन्होंने कितने हैम्बर्गर बनाए?	X = ( 9 + 3 )	[1, 2]	1
163	छवि के बैंक के खाते में ₹26935 थे, लेकिन उसने ₹69 निकाल लिए। उसके खाते में कितने पैसे बचे?	X = ( 26935 - 69 )	[0, 1]	1
